,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
658,Monroe County,4.2     ,3.8     ,4.2,5.2,7.8,7.3,6.7,6.8,6.7,5.4,IL
659,Montgomery County,6.9     ,6.0     ,6.5,8.5,11.9,12.3,11.9,11.2,11.0,8.8,IL
660,Morgan County,5.5     ,4.7     ,4.9,6.0,8.1,8.4,8.2,7.8,8.0,6.2,IL
661,Moultrie County,4.1     ,3.4     ,3.6,5.1,8.7,8.6,7.7,7.2,7.3,5.5,IL
662,Ogle County,5.3     ,4.9     ,5.5,7.7,12.5,12.4,11.5,10.1,9.9,7.6,IL
663,Peoria County,4.9     ,4.2     ,4.6,5.7,11.0,10.5,9.3,8.4,9.7,7.8,IL
664,Perry County,6.7     ,6.7     ,8.2,9.5,12.0,11.1,10.2,10.7,11.2,8.6,IL
665,Piatt County,4.0     ,3.6     ,3.8,4.9,8.0,7.8,7.1,7.0,7.3,5.8,IL
666,Pike County,4.8     ,4.2     ,4.5,5.8,8.1,8.9,8.0,7.5,7.5,5.8,IL
667,Pope County,6.2     ,6.2     ,6.9,8.3,10.4,9.8,9.2,8.6,9.3,8.2,IL
668,Pulaski County,7.9     ,6.7     ,7.1,9.2,11.1,12.3,11.9,11.3,12.4,10.4,IL
669,Putnam County,5.5     ,5.0     ,5.7,7.0,13.6,12.0,10.3,9.4,10.1,7.8,IL
670,Randolph County,5.4     ,4.6     ,5.2,6.5,9.2,8.8,8.3,8.4,8.5,6.7,IL
671,Richland County,5.6     ,4.5     ,4.7,6.4,10.1,8.9,8.3,8.1,8.6,6.8,IL
672,Rock Island County,4.6     ,4.3     ,4.5,5.5,9.2,9.5,8.5,8.1,8.3,7.1,IL
673,St. Clair County,6.3     ,5.7     ,6.1,7.5,10.9,10.3,9.8,9.6,9.9,7.9,IL
674,Saline County,5.9     ,5.3     ,6.4,8.0,9.9,10.2,9.5,9.0,10.6,8.1,IL
675,Sangamon County,4.5     ,4.1     ,4.4,5.6,7.5,7.7,7.4,7.3,7.4,6.0,IL
676,Schuyler County,4.7     ,4.0     ,4.0,5.1,6.7,8.6,8.3,7.9,8.1,6.5,IL
677,Scott County,6.2     ,5.2     ,5.1,5.9,7.8,8.6,8.2,8.6,8.9,6.8,IL
678,Shelby County,5.2     ,4.6     ,4.8,6.5,9.8,9.8,9.1,8.6,8.9,6.9,IL
679,Stark County,5.5     ,4.6     ,5.1,6.3,10.4,9.5,8.6,8.0,9.6,7.5,IL
680,Stephenson County,5.2     ,4.7     ,5.1,6.7,11.4,11.1,9.9,9.1,9.5,7.5,IL
681,Tazewell County,4.6     ,3.7     ,4.2,5.2,10.5,9.9,8.3,7.5,8.7,6.8,IL
682,Union County,6.8     ,5.8     ,6.8,8.5,11.2,11.9,11.6,10.9,11.3,9.0,IL
683,Vermilion County,6.3     ,5.6     ,6.1,7.7,11.5,11.4,10.0,9.3,10.7,8.6,IL
684,Wabash County,5.7     ,4.6     ,5.4,7.2,10.4,9.8,9.0,8.1,7.7,6.1,IL
685,Warren County,5.5     ,4.5     ,4.4,5.6,7.5,7.8,7.3,7.1,7.4,5.9,IL
686,Washington County,4.4     ,3.8     ,4.5,5.9,8.1,7.2,6.6,6.4,6.3,4.9,IL
687,Wayne County,5.0     ,4.2     ,4.7,6.3,10.0,9.0,8.1,7.8,7.9,6.7,IL
688,White County,4.9     ,4.6     ,5.1,6.3,8.6,8.5,7.9,7.6,7.8,6.0,IL
689,Whiteside County,5.7     ,5.1     ,5.3,6.7,10.4,10.3,9.5,8.8,8.9,7.1,IL
690,Will County,5.8     ,4.3     ,4.8,6.1,10.3,11.1,10.5,9.7,9.7,7.4,IL
691,Williamson County,5.3     ,4.6     ,6.4,6.9,9.2,9.7,9.1,8.6,9.1,7.4,IL
692,Winnebago County,6.3     ,5.2     ,5.9,8.4,15.0,14.0,11.9,10.6,10.5,8.3,IL
693,Woodford County,3.7     ,3.1     ,3.4,4.2,8.2,7.7,6.5,6.1,7.2,5.6,IL
694,Adams County,4.8     ,4.4     ,4.3,7.6,14.6,10.1,7.9,7.1,6.2,4.7,IN
695,Allen County,5.3     ,5.0     ,4.8,6.0,10.5,10.7,9.3,8.4,7.5,5.8,IN
696,Bartholomew County,4.8     ,4.2     ,3.6,4.6,9.6,9.5,7.6,6.4,6.0,4.5,IN
697,Benton County,5.3     ,5.0     ,4.4,5.2,10.0,9.2,8.0,7.5,7.3,5.5,IN
698,Blackford County,7.1     ,6.6     ,5.8,7.6,14.0,14.4,12.5,11.4,9.9,7.5,IN
699,Boone County,4.1     ,3.7     ,3.5,4.3,7.7,7.6,6.7,6.2,5.8,4.5,IN
700,Brown County,5.7     ,4.9     ,4.4,5.7,9.9,10.4,9.1,8.0,7.4,6.0,IN
701,Carroll County,5.2     ,4.7     ,4.1,5.9,10.6,9.9,8.3,7.4,7.1,5.3,IN
702,Cass County,5.8     ,5.4     ,4.9,6.3,12.0,10.8,9.5,8.6,7.7,5.8,IN
703,Clark County,5.2     ,5.0     ,4.3,5.3,8.7,9.5,8.9,7.8,6.9,5.5,IN
704,Clay County,7.0     ,5.7     ,5.8,7.1,11.2,11.1,10.4,9.9,9.0,6.9,IN
705,Clinton County,5.7     ,5.1     ,4.5,5.5,10.8,10.1,8.6,8.0,7.2,5.3,IN
706,Crawford County,7.7     ,7.1     ,6.1,7.5,12.3,12.9,11.9,10.6,10.0,7.7,IN
707,Daviess County,4.1     ,3.6     ,3.1,3.8,5.9,6.5,6.1,6.0,5.7,4.5,IN
708,Dearborn County,5.7     ,5.4     ,5.0,5.9,9.8,10.9,9.6,8.8,8.3,6.5,IN
709,Decatur County,5.1     ,4.4     ,4.5,6.3,12.4,11.6,9.8,8.1,6.8,5.0,IN
710,DeKalb County,6.3     ,6.1     ,5.5,7.3,13.7,11.9,9.7,8.4,7.2,5.3,IN
711,Delaware County,6.9     ,6.0     ,5.3,6.7,10.7,11.6,10.2,9.4,8.7,7.1,IN
712,Dubois County,3.9     ,3.6     ,3.1,3.8,7.5,7.5,6.1,5.7,5.4,4.2,IN
713,Elkhart County,4.6     ,4.7     ,4.6,8.6,17.9,13.3,10.8,9.0,7.3,5.2,IN
714,Fayette County,8.1     ,8.0     ,7.2,11.4,15.2,14.6,12.6,11.2,10.4,8.0,IN
715,Floyd County,5.2     ,4.9     ,4.1,5.1,8.5,8.9,8.0,7.1,6.4,5.2,IN
716,Fountain County,5.4     ,4.8     ,4.2,5.3,12.7,11.7,9.6,8.4,9.7,7.1,IN
717,Franklin County,6.4     ,5.8     ,5.5,6.6,10.5,11.5,10.0,9.3,8.4,6.5,IN
718,Fulton County,5.4     ,5.4     ,4.8,6.6,12.7,11.4,9.1,8.4,8.2,6.3,IN
719,Gibson County,5.0     ,4.5     ,4.6,5.2,8.7,8.0,7.3,6.9,5.9,4.6,IN
720,Grant County,8.5     ,7.1     ,6.2,7.6,11.7,11.6,10.4,9.7,9.1,7.0,IN
721,Greene County,6.7     ,5.7     ,5.1,6.2,8.5,10.7,10.3,10.2,10.0,8.0,IN
722,Hamilton County,3.5     ,3.3     ,2.9,3.8,6.6,6.7,5.9,5.3,5.1,4.1,IN
723,Hancock County,4.3     ,4.1     ,3.8,4.8,8.5,9.3,8.2,7.3,6.6,5.2,IN
724,Harrison County,6.3     ,5.4     ,4.5,5.9,9.2,9.9,8.8,7.7,7.0,5.7,IN
725,Hendricks County,4.1     ,3.7     ,3.3,4.3,7.6,7.9,7.0,6.4,5.8,4.7,IN
726,Henry County,6.8     ,5.8     ,5.8,7.0,12.7,13.9,11.5,10.0,8.8,6.9,IN
727,Howard County,6.6     ,6.6     ,5.5,7.8,14.8,12.6,10.5,9.1,8.2,6.4,IN
728,Huntington County,5.6     ,5.3     ,4.7,6.7,12.8,11.9,9.8,8.7,7.6,5.8,IN
729,Jackson County,4.9     ,4.4     ,3.9,5.3,11.1,10.5,8.7,7.4,6.5,5.1,IN
730,Jasper County,5.7     ,5.1     ,4.7,5.8,10.2,10.4,9.1,8.1,7.8,6.8,IN
731,Jay County,5.4     ,4.5     ,4.3,5.8,11.3,10.6,9.0,7.9,7.7,5.8,IN
732,Jefferson County,5.4     ,4.9     ,4.9,6.1,10.9,11.4,9.8,8.4,7.7,6.0,IN
733,Jennings County,6.7     ,5.8     ,5.1,7.2,13.6,12.9,11.5,10.3,9.2,6.8,IN
734,Johnson County,4.4     ,3.9     ,3.5,4.7,8.3,8.8,7.7,7.0,6.3,5.0,IN
735,Knox County,5.2     ,4.8     ,4.0,5.0,7.4,8.2,7.4,7.1,6.7,5.3,IN
736,Kosciusko County,4.3     ,4.9     ,4.4,6.5,12.4,11.0,8.9,7.7,6.6,4.9,IN
737,LaGrange County,4.9     ,5.2     ,4.9,8.6,17.4,12.0,9.0,7.1,6.0,4.5,IN
738,Lake County,6.2     ,5.8     ,5.2,6.2,10.6,10.8,9.6,9.2,9.2,8.1,IN
739,LaPorte County,6.1     ,5.7     ,5.1,6.2,11.9,12.0,10.4,9.8,9.4,7.7,IN
740,Lawrence County,7.8     ,7.0     ,6.5,8.3,13.2,12.7,11.6,11.0,10.2,8.2,IN
741,Madison County,6.6     ,6.1     ,6.3,6.9,10.9,12.1,10.9,10.0,9.3,7.1,IN
742,Marion County,5.6     ,5.0     ,4.5,5.6,9.3,10.6,9.9,9.1,8.4,6.5,IN
743,Marshall County,5.3     ,5.4     ,4.8,7.3,13.5,11.2,9.4,8.3,7.5,5.6,IN
744,Martin County,5.5     ,4.9     ,3.9,4.9,7.3,7.5,7.7,7.1,6.4,5.4,IN
745,Miami County,6.2     ,6.2     ,5.7,7.9,14.5,12.5,10.5,9.8,8.8,6.8,IN
746,Monroe County,4.8     ,4.3     ,3.7,4.5,6.5,7.9,7.5,7.2,6.9,5.8,IN
747,Montgomery County,4.7     ,4.2     ,3.9,4.9,10.1,10.2,8.9,8.2,7.2,5.5,IN
748,Morgan County,5.0     ,4.5     ,4.2,5.8,9.2,10.4,9.3,8.4,7.6,5.8,IN
749,Newton County,5.4     ,5.0     ,5.3,6.3,11.2,11.4,9.8,9.5,8.9,7.0,IN
750,Noble County,6.2     ,6.1     ,5.4,8.5,17.2,13.2,10.1,8.7,7.4,5.3,IN
751,Ohio County,5.3     ,5.3     ,4.9,6.2,10.8,11.1,9.5,8.8,8.2,6.9,IN
752,Orange County,7.4     ,7.2     ,5.1,6.4,10.7,12.8,11.8,10.7,9.8,7.7,IN
753,Owen County,6.3     ,5.3     ,4.9,6.4,9.4,11.5,11.2,10.7,10.0,8.1,IN
754,Parke County,6.5     ,5.5     ,5.0,6.0,10.0,11.0,10.5,10.2,9.2,7.0,IN
755,Perry County,5.9     ,5.1     ,4.4,5.2,10.2,10.6,9.0,8.3,7.7,5.9,IN
756,Pike County,5.6     ,4.6     ,4.3,5.6,9.6,9.5,7.8,7.3,6.9,5.1,IN
757,Porter County,4.8     ,4.4     ,3.8,4.8,9.3,9.5,8.1,7.6,7.2,6.3,IN
758,Posey County,4.9     ,4.4     ,4.3,4.9,8.2,7.8,6.9,6.8,6.4,4.9,IN
759,Pulaski County,5.0     ,4.6     ,4.1,5.6,10.4,9.8,8.0,7.4,7.0,5.5,IN
760,Putnam County,6.7     ,5.4     ,5.3,6.7,10.9,11.6,10.8,9.8,8.5,6.5,IN
761,Randolph County,7.4     ,6.9     ,5.6,6.9,12.0,11.7,10.4,9.6,8.7,6.6,IN
762,Ripley County,5.3     ,4.8     ,4.5,6.0,10.8,11.2,9.5,9.1,8.7,6.7,IN
763,Rush County,4.7     ,4.5     ,4.5,6.2,10.5,11.1,9.5,8.4,7.2,5.6,IN
764,St. Joseph County,5.3     ,5.2     ,4.9,6.6,11.5,11.6,10.1,9.5,8.8,6.7,IN
765,Scott County,6.2     ,6.5     ,5.2,6.5,12.9,13.2,11.9,10.3,8.8,6.7,IN
766,Shelby County,5.0     ,4.5     ,4.3,5.9,10.4,11.0,9.4,8.2,7.2,5.6,IN
767,Spencer County,5.7     ,5.0     ,4.2,5.1,9.2,8.7,7.7,7.3,6.7,5.3,IN
768,Starke County,7.0     ,6.6     ,5.9,7.8,14.2,13.2,11.5,10.6,9.5,7.4,IN
769,Steuben County,6.3     ,6.4     ,6.0,7.5,14.5,11.1,9.0,7.5,6.6,5.0,IN
770,Sullivan County,7.5     ,6.1     ,5.5,6.7,9.9,10.1,9.3,9.5,9.3,7.4,IN
771,Switzerland County,4.8     ,4.1     ,3.9,5.0,7.9,9.3,8.1,7.6,7.4,5.9,IN
772,Tippecanoe County,4.9     ,4.3     ,3.9,4.7,9.1,8.9,7.5,7.0,6.7,5.1,IN
773,Tipton County,5.7     ,5.5     ,4.7,7.2,13.0,10.3,9.0,7.9,7.0,5.5,IN
774,Union County,5.6     ,5.5     ,4.7,6.2,10.2,10.3,8.9,8.1,7.3,5.6,IN
775,Vanderburgh County,5.2     ,4.8     ,4.7,5.2,8.2,8.9,8.0,7.7,7.2,5.5,IN
776,Vermillion County,7.4     ,6.5     ,5.6,7.2,12.1,12.9,11.8,11.4,10.8,8.7,IN
777,Vigo County,6.8     ,6.4     ,5.3,6.4,10.1,11.2,10.3,10.0,9.5,7.8,IN
778,Wabash County,6.6     ,5.6     ,4.8,7.5,13.1,11.4,9.6,8.5,7.5,5.6,IN
779,Warren County,4.5     ,4.0     ,3.2,4.1,10.5,10.5,8.1,7.3,8.8,6.1,IN
780,Warrick County,4.7     ,4.2     ,3.9,4.6,7.7,8.0,7.1,6.8,6.3,5.0,IN
781,Washington County,6.2     ,6.2     ,5.2,6.6,11.9,12.2,10.6,9.2,8.5,6.6,IN
782,Wayne County,7.1     ,5.9     ,5.4,7.1,12.3,12.8,11.1,9.9,8.7,6.7,IN
783,Wells County,4.8     ,4.4     ,4.2,5.6,10.7,9.8,8.2,7.2,6.4,4.9,IN
784,White County,5.8     ,5.0     ,4.4,5.8,11.1,10.4,8.6,7.8,7.0,5.2,IN
785,Whitley County,5.1     ,4.8     ,4.5,6.4,12.6,11.5,9.3,7.9,7.0,5.2,IN
786,Adair County,4.0     ,3.2     ,3.5,4.1,5.8,5.5,4.9,4.4,4.2,4.2,IA
787,Adams County,5.2     ,4.6     ,4.1,4.3,6.1,4.8,4.4,4.0,3.7,3.5,IA
788,Allamakee County,5.2     ,4.6     ,4.8,6.5,10.2,7.8,7.2,6.5,6.4,5.9,IA
789,Appanoose County,5.2     ,5.4     ,6.8,5.5,8.7,7.3,6.9,6.6,6.5,6.0,IA
790,Audubon County,4.6     ,4.0     ,3.9,4.5,5.8,5.6,5.7,4.8,4.9,4.5,IA
791,Benton County,4.7     ,4.0     ,3.9,4.2,6.3,6.2,5.8,5.3,5.1,4.8,IA
792,Black Hawk County,4.3     ,3.8     ,3.7,4.1,6.1,6.2,5.8,5.4,5.1,5.1,IA
793,Boone County,3.5     ,2.9     ,3.3,3.6,5.9,5.7,5.0,4.3,4.1,3.5,IA
794,Bremer County,3.7     ,3.2     ,3.1,3.6,5.4,4.9,4.4,3.8,3.8,3.8,IA
795,Buchanan County,4.6     ,4.3     ,4.2,4.1,6.6,6.0,5.7,4.8,4.8,4.8,IA
796,Buena Vista County,3.8     ,3.3     ,3.2,3.6,5.2,4.7,4.5,4.2,4.0,4.1,IA
797,Butler County,4.8     ,4.1     ,4.0,4.7,6.6,6.0,5.0,4.5,4.6,4.4,IA
798,Calhoun County,4.0     ,3.4     ,3.3,3.5,5.2,6.0,5.7,5.5,5.2,5.1,IA
799,Carroll County,3.0     ,2.6     ,2.6,2.9,4.2,4.3,4.0,3.7,3.4,3.3,IA
800,Cass County,4.6     ,4.2     ,4.1,4.6,6.8,6.3,6.0,5.2,5.1,4.5,IA
801,Cedar County,3.8     ,3.2     ,3.2,3.7,5.6,5.4,5.2,4.5,4.3,4.0,IA
802,Cerro Gordo County,4.4     ,3.9     ,3.9,4.8,6.9,6.8,6.2,5.6,5.4,4.8,IA
803,Cherokee County,4.7     ,4.2     ,3.6,3.5,4.6,4.5,4.8,4.3,4.3,5.3,IA
804,Chickasaw County,5.3     ,4.5     ,4.2,4.9,8.9,7.4,6.3,5.2,5.0,4.9,IA
805,Clarke County,5.2     ,4.1     ,4.1,4.7,7.6,7.7,7.0,6.1,5.6,4.7,IA
806,Clay County,4.0     ,3.3     ,3.1,3.5,6.8,5.9,5.4,5.0,4.5,4.3,IA
807,Clayton County,6.5     ,5.0     ,4.8,5.5,8.6,7.1,6.3,5.7,5.7,5.2,IA
808,Clinton County,4.7     ,3.9     ,3.7,4.3,7.3,7.0,6.6,6.2,5.8,5.5,IA
809,Crawford County,3.8     ,3.1     ,3.3,3.3,4.6,4.7,4.7,4.5,4.4,4.3,IA
810,Dallas County,3.4     ,2.8     ,2.9,3.3,4.9,4.6,4.3,3.9,3.6,3.4,IA
811,Davis County,5.3     ,4.7     ,4.5,5.0,9.1,7.1,6.1,5.8,5.6,5.3,IA
812,Decatur County,4.9     ,4.0     ,4.1,3.8,6.7,6.1,5.0,4.4,4.5,3.9,IA
813,Delaware County,4.4     ,3.7     ,3.5,4.0,6.7,6.1,5.5,4.5,4.3,3.9,IA
814,Des Moines County,5.4     ,4.7     ,4.4,5.9,8.0,7.4,6.7,6.2,6.1,5.2,IA
815,Dickinson County,4.3     ,4.1     ,3.9,4.4,7.1,6.8,6.3,5.7,5.3,4.9,IA
816,Dubuque County,4.3     ,3.7     ,4.0,4.4,6.6,5.8,5.1,4.5,4.6,4.3,IA
817,Emmet County,4.4     ,4.1     ,3.7,4.0,8.3,7.0,5.7,4.5,4.1,4.1,IA
818,Fayette County,5.0     ,4.5     ,4.4,5.4,8.6,7.1,6.2,5.4,5.3,5.2,IA
819,Floyd County,5.0     ,4.7     ,4.5,5.9,8.8,7.2,6.5,6.3,5.5,4.7,IA
820,Franklin County,4.7     ,3.9     ,3.5,4.5,7.4,6.2,5.1,4.5,4.5,4.1,IA
821,Fremont County,4.0     ,3.8     ,4.0,4.5,6.9,5.9,5.8,5.1,4.3,4.1,IA
822,Greene County,4.6     ,3.9     ,3.5,3.9,5.9,5.9,5.6,5.0,4.7,4.1,IA
823,Grundy County,3.8     ,3.1     ,3.2,3.6,5.8,5.7,5.0,4.6,4.4,4.4,IA
824,Guthrie County,4.2     ,3.7     ,3.8,4.4,6.3,6.5,6.1,5.6,5.2,4.5,IA
825,Hamilton County,3.9     ,3.6     ,3.2,3.9,7.6,7.3,8.9,7.0,5.6,4.7,IA
826,Hancock County,4.5     ,3.6     ,3.8,6.4,10.0,6.6,5.7,4.6,4.0,3.4,IA
827,Hardin County,4.7     ,3.7     ,3.8,4.3,6.6,6.5,5.9,5.3,5.1,4.5,IA
828,Harrison County,4.7     ,4.3     ,4.2,4.2,5.0,5.6,5.5,5.0,4.5,4.1,IA
829,Henry County,4.9     ,5.3     ,4.7,5.4,9.3,8.3,6.9,6.1,5.4,4.6,IA
830,Howard County,4.4     ,3.6     ,3.6,4.7,8.8,6.3,5.4,4.7,4.6,4.2,IA
831,Humboldt County,3.7     ,3.3     ,3.1,3.7,5.9,5.2,5.0,4.2,4.1,4.0,IA
832,Ida County,4.0     ,3.4     ,3.3,3.9,5.4,5.1,4.8,4.0,4.0,3.8,IA
833,Iowa County,4.4     ,3.7     ,3.7,4.2,7.1,5.5,5.0,4.5,4.2,4.3,IA
834,Jackson County,5.3     ,4.8     ,4.7,5.2,8.4,7.1,6.5,5.5,5.4,5.3,IA
835,Jasper County,5.9     ,5.1     ,6.3,7.7,8.6,7.3,6.8,6.1,5.2,4.6,IA
836,Jefferson County,4.6     ,4.2     ,4.1,4.5,8.6,7.1,6.0,5.4,5.0,4.5,IA
837,Johnson County,3.1     ,2.6     ,2.7,3.0,4.5,4.2,4.0,3.7,3.4,3.2,IA
838,Jones County,4.8     ,3.9     ,4.1,4.5,7.2,6.4,5.8,5.3,5.3,5.1,IA
839,Keokuk County,4.7     ,4.0     ,4.2,4.6,8.0,6.5,6.1,5.5,5.1,4.6,IA
840,Kossuth County,4.0     ,3.3     ,3.6,4.0,5.9,5.1,4.4,3.9,3.6,3.4,IA
841,Lee County,6.6     ,6.2     ,5.7,6.6,10.2,8.9,8.2,7.3,7.3,6.3,IA
842,Linn County,4.3     ,3.6     ,3.7,4.1,6.1,6.0,5.7,5.2,5.0,4.6,IA
843,Louisa County,4.4     ,3.8     ,3.7,4.8,8.3,7.3,6.2,5.5,5.1,4.7,IA
844,Lucas County,5.2     ,4.1     ,3.9,4.1,6.4,6.1,5.3,4.7,4.7,4.1,IA
845,Lyon County,2.9     ,2.3     ,2.4,2.7,4.3,3.9,3.1,2.9,2.9,2.6,IA
846,Madison County,4.5     ,4.0     ,4.1,4.8,6.7,6.4,6.0,5.6,5.1,4.7,IA
847,Mahaska County,4.3     ,3.7     ,3.6,4.6,8.3,6.7,5.9,5.2,4.8,4.6,IA
848,Marion County,3.9     ,3.5     ,3.6,4.0,6.7,5.9,5.5,4.8,4.5,4.0,IA
849,Marshall County,4.8     ,3.7     ,4.0,5.2,7.3,6.8,6.6,6.5,6.1,5.6,IA
850,Mills County,4.1     ,3.8     ,3.7,3.7,4.6,5.2,4.9,4.6,4.4,4.5,IA
851,Mitchell County,4.2     ,3.4     ,3.3,4.1,5.9,5.2,4.7,4.6,4.3,3.7,IA
852,Monona County,5.7     ,5.4     ,5.5,5.4,7.5,7.2,6.9,6.5,5.8,5.2,IA
853,Monroe County,5.0     ,4.0     ,4.1,4.5,7.6,7.2,6.7,5.7,5.7,5.2,IA
854,Montgomery County,4.3     ,5.5     ,6.2,5.8,8.9,8.1,5.9,5.1,4.9,4.3,IA
855,Muscatine County,3.9     ,3.2     ,3.4,4.4,8.7,8.0,6.6,5.7,5.2,4.7,IA
856,O'Brien County,3.8     ,3.0     ,3.0,3.3,5.3,4.7,4.2,3.8,3.7,3.4,IA
857,Osceola County,4.0     ,3.5     ,3.3,3.9,6.2,4.9,4.5,4.1,3.8,3.5,IA
858,Page County,3.8     ,3.9     ,4.6,4.8,8.6,6.8,5.7,5.4,5.3,4.6,IA
859,Palo Alto County,4.0     ,3.2     ,3.4,4.3,7.1,6.0,4.7,4.3,3.8,3.8,IA
860,Plymouth County,3.5     ,3.1     ,3.0,3.4,4.7,4.5,4.5,4.1,4.0,3.5,IA
861,Pocahontas County,4.1     ,3.0     ,3.2,3.2,5.7,5.1,4.4,4.0,3.8,3.6,IA
862,Polk County,4.0     ,3.4     ,3.5,4.1,6.1,6.0,5.7,5.2,4.8,4.4,IA
863,Pottawattamie County,4.9     ,4.4     ,4.2,4.3,5.1,5.8,5.6,5.1,4.6,4.4,IA
864,Poweshiek County,4.6     ,3.8     ,3.9,4.6,6.8,5.8,5.6,4.9,4.7,4.5,IA
865,Ringgold County,4.6     ,4.0     ,4.2,4.6,5.5,4.7,4.6,4.4,4.3,4.0,IA
866,Sac County,3.9     ,3.3     ,3.4,3.7,5.1,4.7,4.4,4.2,4.2,4.1,IA
867,Scott County,4.4     ,3.8     ,3.7,4.3,7.1,6.7,6.2,5.8,5.6,5.4,IA
868,Shelby County,3.7     ,3.2     ,3.2,3.1,4.0,4.5,4.3,3.8,3.8,3.3,IA
869,Sioux County,2.9     ,2.4     ,2.5,2.8,4.4,3.9,3.7,3.4,3.5,3.0,IA
870,Story County,3.0     ,2.6     ,2.8,3.2,4.7,4.2,3.9,3.6,3.3,2.9,IA
871,Tama County,5.5     ,4.2     ,4.3,5.4,7.2,6.4,6.1,6.0,5.6,5.6,IA
872,Taylor County,3.8     ,3.9     ,4.1,4.0,6.9,5.6,4.7,4.1,3.8,3.8,IA
873,Union County,4.9     ,4.1     ,4.1,4.6,6.6,5.6,5.3,5.0,4.9,4.9,IA
874,Van Buren County,5.1     ,4.3     ,4.3,4.9,8.8,7.3,6.4,5.8,5.6,4.7,IA
875,Wapello County,5.5     ,4.5     ,4.3,5.0,8.7,7.9,7.2,7.0,6.4,5.7,IA
876,Warren County,3.7     ,3.2     ,3.3,3.8,5.9,5.6,5.2,4.8,4.5,4.1,IA
877,Washington County,3.7     ,3.0     ,3.4,4.1,5.6,5.1,4.7,4.2,3.8,3.7,IA
878,Wayne County,4.6     ,4.0     ,4.5,4.2,6.3,6.2,5.5,5.4,5.2,5.2,IA
879,Webster County,4.3     ,3.9     ,4.0,4.4,7.4,6.9,7.1,6.4,5.4,5.0,IA
880,Winnebago County,4.6     ,3.5     ,3.5,6.5,9.4,6.7,6.1,5.4,4.8,4.4,IA
881,Winneshiek County,4.2     ,3.6     ,3.6,4.4,6.3,5.5,5.0,4.6,4.7,4.4,IA
882,Woodbury County,4.8     ,4.2     ,3.9,3.9,5.7,6.6,5.7,5.2,4.8,4.5,IA
883,Worth County,4.6     ,3.8     ,3.7,5.2,7.2,7.3,6.4,5.5,5.2,4.7,IA
884,Wright County,4.2     ,3.6     ,3.9,4.5,7.4,7.2,6.9,5.4,4.5,4.3,IA
885,Allen County,5.4     ,4.2     ,4.0,4.6,7.8,8.3,8.0,7.1,6.1,5.0,KS
886,Anderson County,5.9     ,4.8     ,4.7,4.8,7.6,7.7,7.6,6.5,5.8,5.1,KS
887,Atchison County,5.5     ,4.7     ,4.6,4.6,9.2,9.9,9.0,7.7,8.5,6.5,KS
888,Barber County,3.7     ,3.2     ,3.2,3.3,4.5,4.5,4.0,3.9,4.0,3.1,KS
889,Barton County,4.0     ,3.5     ,3.5,3.3,5.6,6.0,5.2,4.5,4.1,3.5,KS
890,Bourbon County,5.0     ,3.9     ,4.4,4.9,7.0,9.0,8.9,7.6,6.4,5.2,KS
891,Brown County,4.8     ,3.9     ,4.1,4.4,5.6,6.6,6.0,5.4,5.0,4.1,KS
892,Butler County,5.5     ,4.6     ,4.1,4.4,7.3,7.8,7.0,6.3,5.6,4.9,KS
893,Chase County,4.1     ,4.0     ,4.0,4.2,5.3,5.6,5.5,5.3,5.7,4.0,KS
894,Chautauqua County,5.3     ,5.1     ,4.7,4.6,8.8,9.0,8.1,6.5,6.2,5.5,KS
895,Cherokee County,6.4     ,5.1     ,4.9,5.2,8.4,9.1,8.1,7.8,6.3,5.0,KS
896,Cheyenne County,4.5     ,3.5     ,3.5,3.2,3.5,4.1,4.3,3.6,3.4,3.1,KS
897,Clark County,3.5     ,3.2     ,3.1,3.2,3.7,4.4,3.8,3.5,3.1,2.7,KS
898,Clay County,4.1     ,3.4     ,3.4,3.4,4.5,5.5,5.7,5.2,5.1,4.4,KS
899,Cloud County,3.8     ,3.4     ,3.6,3.7,4.4,5.6,5.5,5.0,4.4,4.2,KS
900,Coffey County,5.6     ,4.9     ,4.5,4.7,5.8,7.6,7.7,6.9,5.9,5.6,KS
901,Comanche County,2.9     ,2.8     ,3.1,3.2,3.5,4.5,4.4,3.9,3.5,3.1,KS
902,Cowley County,5.5     ,4.3     ,4.0,4.5,6.9,7.8,7.0,6.1,5.8,4.6,KS
903,Crawford County,5.7     ,5.1     ,4.9,5.3,8.5,8.7,7.9,6.7,5.9,5.3,KS
904,Decatur County,3.4     ,3.3     ,3.1,3.1,3.7,5.0,4.9,4.4,4.0,3.6,KS
905,Dickinson County,4.5     ,4.0     ,3.9,4.0,5.2,6.6,6.6,6.0,5.9,5.0,KS
906,Doniphan County,6.3     ,5.0     ,4.8,5.6,10.4,8.8,7.8,6.3,5.5,4.5,KS
907,Douglas County,4.0     ,3.8     ,3.9,4.2,5.7,5.9,5.7,5.2,4.8,4.1,KS
908,Edwards County,3.4     ,3.0     ,3.4,2.8,4.2,5.3,4.5,4.1,3.7,3.2,KS
909,Elk County,5.5     ,4.8     ,5.8,5.7,8.2,8.3,7.5,6.7,5.6,5.0,KS
910,Ellis County,3.4     ,2.8     ,2.8,3.0,3.9,3.9,3.5,3.4,3.2,2.7,KS
